"","Nstates","Tstates","tpurity","Ncount","Tcount","log.ratios","state","hiddenstate","hiddenNstate","hiddenTstate","consistance"
"1",1,2,0.9,12,13,0.0723206615796261,3,2,1,1,FALSE
"2",3,2,0.9,27,22,-0.182321556793955,13,2,1,1,FALSE
"3",1,2,0.9,8,13,0.44628710262842,3,2,1,1,FALSE
"4",3,2,0.9,33,9,-1.06289420606603,13,2,1,1,FALSE
"5",2,2,0.9,23,18,-0.217723483844871,8,2,1,1,FALSE
"6",1,2,0.9,10,16,0.431782416425538,3,2,1,1,FALSE
"7",3,2,0.9,30,21,-0.3147107448397,13,2,1,1,FALSE
"8",1,2,0.9,10,22,0.732367893713227,3,2,1,1,FALSE
"9",1,2,0.9,6,16,0.916290731874155,3,2,1,1,FALSE
"10",2,2,0.9,25,15,-0.446287102628419,8,2,1,1,FALSE
"11",2,2,0.9,21,20,-0.0438026226583929,8,2,1,1,FALSE
"12",1,2,0.9,9,20,0.741937344729377,3,2,1,1,FALSE
"13",3,2,0.9,29,16,-0.516589328482741,13,2,1,1,FALSE
"14",3,2,0.9,34,18,-0.55083095837969,13,2,1,1,FALSE
"15",1,2,0.9,7,16,0.768784594765565,3,2,1,1,FALSE
"16",3,2,0.9,31,12,-0.8020983643485,13,2,1,1,FALSE
"17",3,2,0.9,37,16,-0.715005974372444,13,2,1,1,FALSE
"18",1,2,0.9,10,18,0.542324290825362,3,2,1,1,FALSE
"19",2,2,0.9,16,18,0.106609735058258,8,2,1,1,FALSE
"20",2,2,0.9,26,18,-0.324239668185579,8,2,1,1,FALSE
"21",3,2,0.9,31,17,-0.521636539870206,13,2,1,1,FALSE
"22",2,2,0.9,18,23,0.22314355131421,8,2,1,1,FALSE
"23",1,2,0.9,17,14,-0.172953806790355,3,2,1,1,FALSE
"24",3,2,0.9,24,14,-0.470003629245736,13,2,1,1,FALSE
"25",1,2,0.9,8,22,0.945849534115699,3,2,1,1,FALSE
"26",2,2,0.9,20,18,-0.0943106794712414,8,2,1,1,FALSE
"27",1,2,0.9,6,16,0.916290731874155,3,2,1,1,FALSE
"28",1,2,0.9,11,19,0.503526321284379,3,2,1,1,FALSE
"29",3,2,0.9,26,17,-0.373295825174773,13,2,1,1,FALSE
"30",1,2,0.9,12,13,0.0723206615796261,3,2,1,1,FALSE
"31",2,2,0.9,14,19,0.27871340246902,8,2,1,1,FALSE
"32",1,2,0.9,11,12,0.0786431273191131,3,2,1,1,FALSE
