"","X","Nstates","Tstates","tpurity","Ncount","Tcount","log.ratios","state","hiddenstate","hiddenNstate","hiddenTstate","consistance","compressedState","compressedhiddenState","compressedconsistence","postpurity","clusterpurity","truepuritydiff","tcompressedstate"
"1",1,1,2,0.9,12,13,0.0723206615796261,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,3
"2",2,3,2,0.9,27,22,-0.182321556793955,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"3",3,1,2,0.9,8,13,0.44628710262842,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"4",4,3,2,0.9,33,9,-1.06289420606603,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"5",5,2,2,0.9,23,18,-0.217723483844871,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"6",6,1,2,0.9,10,16,0.431782416425538,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"7",7,3,2,0.9,30,21,-0.3147107448397,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"8",8,1,2,0.9,10,22,0.732367893713227,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,5
"9",9,1,2,0.9,6,16,0.916290731874155,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,5
"10",10,2,2,0.9,25,15,-0.446287102628419,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,2
"11",11,2,2,0.9,21,20,-0.0438026226583929,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"12",12,1,2,0.9,9,20,0.741937344729377,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,5
"13",13,3,2,0.9,29,16,-0.516589328482741,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"14",14,3,2,0.9,34,18,-0.55083095837969,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"15",15,1,2,0.9,7,16,0.768784594765565,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,5
"16",16,3,2,0.9,31,12,-0.8020983643485,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"17",17,3,2,0.9,37,16,-0.715005974372444,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"18",18,1,2,0.9,10,18,0.542324290825362,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
