"Nstates","Tstates","tpurity","Ncount","Tcount","log.ratios","state"
1,2,0.9,12,13,0.0723206615796261,3
3,2,0.9,27,22,-0.182321556793955,13
1,2,0.9,8,13,0.44628710262842,3
3,2,0.9,33,9,-1.06289420606603,13
2,2,0.9,23,18,-0.217723483844871,8
1,2,0.9,10,16,0.431782416425538,3
3,2,0.9,30,21,-0.3147107448397,13
1,2,0.9,10,22,0.732367893713227,3
1,2,0.9,6,16,0.916290731874155,3
2,2,0.9,25,15,-0.446287102628419,8
2,2,0.9,21,20,-0.0438026226583929,8
1,2,0.9,9,20,0.741937344729377,3
3,2,0.9,29,16,-0.516589328482741,13
3,2,0.9,34,18,-0.55083095837969,13
1,2,0.9,7,16,0.768784594765565,3
3,2,0.9,31,12,-0.8020983643485,13
3,2,0.9,37,16,-0.715005974372444,13
1,2,0.9,10,18,0.542324290825362,3
2,2,0.9,16,18,0.106609735058258,8
2,2,0.9,26,18,-0.324239668185579,8
3,2,0.9,31,17,-0.521636539870206,13
2,2,0.9,18,23,0.22314355131421,8
1,2,0.9,17,14,-0.172953806790355,3
3,2,0.9,24,14,-0.470003629245736,13
1,2,0.9,8,22,0.945849534115699,3
2,2,0.9,20,18,-0.0943106794712414,8
1,2,0.9,6,16,0.916290731874155,3
1,2,0.9,11,19,0.503526321284379,3
3,2,0.9,26,17,-0.373295825174773,13
1,2,0.9,12,13,0.0723206615796261,3
2,2,0.9,14,19,0.27871340246902,8
1,2,0.9,11,12,0.0786431273191131,3
1,2,0.9,5,14,0.963174317773006,3
2,2,0.9,21,15,-0.297251523467932,8
3,2,0.9,35,19,-0.530056985693878,13
2,2,0.9,16,20,0.20294084399669,8
3,2,0.9,35,20,-0.487295126355797,13
1,2,0.9,10,16,0.431782416425538,3
3,2,0.9,24,12,-0.597837000755621,13
1,1,0.9,8,6,-0.25489224962879,2
2,1,0.9,18,9,-0.597837000755621,7
3,1,0.9,27,6,-1.20397280432594,12
1,1,0.9,17,10,-0.462969602588356,2
3,1,0.9,27,8,-1.00330210886378,12
1,1,0.9,16,4,-1.1239300966524,2
1,1,0.9,11,8,-0.281639757995818,2
2,1,0.9,21,4,-1.30405626288292,7
3,1,0.9,20,4,-1.27296567581289,12
2,1,0.9,17,9,-0.55083095837969,7
3,1,0.9,33,12,-0.850332764082358,12
1,1,0.9,11,7,-0.396415272588246,2
3,1,0.9,32,12,-0.826678573184468,12
1,1,0.9,11,9,-0.178691788743376,2
2,1,0.9,19,7,-0.840304824896233,7
3,1,0.9,37,5,-1.50678375837402,12
2,1,0.9,21,10,-0.637577329405135,7
3,1,0.9,34,8,-1.16550652349814,12
1,1,0.9,8,8,0,2
3,1,0.9,27,6,-1.20397280432594,12
1,1,0.9,11,9,-0.178691788743376,2
2,1,0.9,19,8,-0.736164565643636,7
3,1,0.9,28,10,-0.864104978703585,12
2,1,0.9,16,6,-0.826678573184468,7
1,1,0.9,9,9,0,2
3,1,0.9,33,4,-1.56498614986327,12
1,1,0.9,11,7,-0.396415272588246,2
2,1,0.9,29,10,-0.890757429868991,7
1,1,0.9,10,13,0.2390169004705,2
2,1,0.9,20,4,-1.27296567581289,7
1,1,0.9,12,10,-0.162518929497775,2
3,1,0.9,25,6,-1.15201306539522,12
2,1,0.9,21,6,-1.02961941718116,7
2,1,0.9,25,14,-0.504181081047322,7
1,1,0.9,6,9,0.371563556432483,2
3,1,0.9,25,9,-0.858021823750179,12
1,1,0.9,11,13,0.151549898127201,2
2,1,0.9,19,8,-0.736164565643636,7
2,1,0.9,18,9,-0.597837000755621,7
2,1,0.9,23,6,-1.09427388706951,7
1,1,0.9,9,8,-0.105360515657826,2
2,1,0.9,28,7,-1.1239300966524,7
3,1,0.9,28,11,-0.790602516710658,12
2,1,0.9,22,6,-1.06289420606603,7
2,1,0.9,13,6,-0.662841831064616,7
1,1,0.9,12,7,-0.470003629245736,2
2,1,0.9,19,8,-0.736164565643636,7
1,1,0.9,8,14,0.51581316527703,2
2,1,0.9,28,6,-1.228070355905,7
3,1,0.9,38,7,-1.32505073587917,12
1,1,0.9,11,6,-0.526093095896779,2
3,1,0.9,38,14,-0.840304824896233,12
2,1,0.9,16,7,-0.705725962766806,7
3,1,0.9,27,10,-0.836248024200619,12
1,1,0.9,9,11,0.182321556793955,2
3,1,0.9,29,7,-1.14809234593148,12
2,1,0.9,21,6,-1.02961941718116,7
3,1,0.9,25,5,-1.27296567581289,12
1,4,0.7,13,35,0.781439787705624,5
2,4,0.7,16,25,0.331997956226292,10
3,4,0.7,21,27,0.182321556793955,15
2,4,0.7,19,28,0.286365416567034,10
3,4,0.7,25,28,0.0806579030174543,15
2,4,0.7,24,24,0,10
3,4,0.7,40,38,-0.035627177643151,15
1,4,0.7,12,35,0.8508629265517,5
1,4,0.7,10,41,1.15373158788919,5
3,4,0.7,19,26,0.229439479771024,15
1,4,0.7,10,45,1.23837423104327,5
1,4,0.7,9,27,0.8754687373539,5
2,4,0.7,21,37,0.42744401482694,10
1,4,0.7,16,33,0.556037966587539,5
2,4,0.7,34,31,-0.0637545148253625,10
3,4,0.7,24,37,0.321479452035072,15
1,4,0.7,18,36,0.53062825106217,5
3,4,0.7,36,38,0.0381517659643761,15
1,4,0.7,15,35,0.659245628884264,5
3,4,0.7,30,36,0.131028262406404,15
1,4,0.7,10,35,1.01160091167848,5
2,4,0.7,20,32,0.350656871613169,10
1,4,0.7,18,23,0.177681177237452,5
3,4,0.7,25,31,0.155292884406035,15
1,4,0.7,15,38,0.729157618082978,5
3,4,0.7,32,29,-0.0678774224030858,15
2,4,0.7,10,34,0.985816794522765,10
3,4,0.7,39,30,-0.176186568226439,15
2,4,0.7,21,44,0.569094531889966,10
1,4,0.7,11,33,0.8754687373539,5
1,4,0.7,12,30,0.717839793150317,5
2,4,0.7,23,31,0.217912501896657,10
3,4,0.7,25,34,0.224742272677907,15
2,4,0.7,23,27,0.114880275998422,10
3,4,0.7,25,43,0.408128225527648,15
2,4,0.7,17,30,0.428721970272432,10
3,4,0.7,30,22,-0.206614249362999,15
1,4,0.7,12,36,0.8754687373539,5
3,4,0.7,26,32,0.149745386359342,15
2,4,0.7,20,26,0.19062035960865,10
1,4,0.7,9,37,1.15618214048959,5
3,4,0.7,48,33,-0.246860077931526,15
2,4,0.7,18,36,0.53062825106217,10
1,4,0.7,9,34,1.07992015565596,5
3,4,0.7,20,24,0.131028262406404,15
3,4,0.7,32,22,-0.246860077931526,15
1,4,0.7,14,32,0.641853886172395,5
2,4,0.7,22,26,0.119801199812621,10
1,4,0.7,9,37,1.15618214048959,5
2,4,0.7,21,32,0.312374685042152,10
1,4,0.7,13,31,0.67764299402398,5
2,4,0.7,17,41,0.687247458432757,10
3,4,0.7,31,35,0.0864735980038269,15
2,4,0.7,22,27,0.147635998806065,10
3,4,0.7,25,29,0.106160195828391,15
1,4,0.7,10,37,1.06125650212434,5
2,4,0.7,20,24,0.131028262406404,10
3,4,0.7,29,34,0.113944259349218,15
1,4,0.7,9,40,1.22703807725693,5
3,4,0.7,33,30,-0.0657513775627804,15
2,4,0.7,25,36,0.268499253035007,10
3,4,0.7,35,27,-0.174353387144778,15
3,4,0.7,25,33,0.202124184090134,15
2,4,0.7,19,33,0.41593640797546,10
1,4,0.7,6,30,1.33500106673234,5
2,4,0.7,27,30,0.0749013081731177,10
1,4,0.7,7,39,1.43508452528932,5
3,4,0.7,30,37,0.151289447546226,15
2,4,0.7,23,34,0.288768438664002,10
1,4,0.7,10,35,1.01160091167848,5
2,4,0.7,24,32,0.209720530982069,10
1,4,0.7,10,34,0.985816794522765,5
2,4,0.7,20,31,0.325700139639302,10
3,4,0.7,31,29,-0.0462128431551317,15
1,4,0.7,14,30,0.587786664902119,5
3,4,0.7,27,35,0.188475422368333,15
2,4,0.7,14,36,0.741937344729377,10
1,4,0.7,13,40,0.897656652329262,5
3,4,0.7,27,32,0.121889817609037,15
2,4,0.7,19,30,0.340224586239763,10
3,4,0.7,25,36,0.268499253035007,15
2,4,0.7,17,38,0.623103336827019,10
1,4,0.7,11,43,1.11066062718428,5
3,4,0.7,25,38,0.31042155942127,15
2,4,0.7,20,30,0.300104592450338,10
3,4,0.7,31,35,0.0864735980038269,15
1,4,0.7,11,28,0.733241637761823,5
2,4,0.7,14,36,0.741937344729377,10
1,4,0.7,10,31,0.904218150639886,5
3,4,0.7,32,34,0.0428199971829281,15
1,4,0.7,5,32,1.56444054650336,5
2,4,0.7,19,38,0.53062825106217,10
1,4,0.7,5,30,1.50407739677627,5
3,4,0.7,30,33,0.0676586484738149,15
2,4,0.7,18,25,0.240765152664029,10
2,4,0.7,16,22,0.233093882167378,10
1,4,0.7,9,29,0.93826963859293,5
1,4,0.7,12,40,0.968250470804866,5
3,4,0.7,32,30,-0.0447358938413914,15
1,4,0.7,7,33,1.28093384546206,5
2,4,0.7,17,29,0.401535829968275,10
1,4,0.7,10,36,1.03673688495002,5
1,4,0.7,6,42,1.64865862558738,5
1,4,0.7,9,36,1.1314021114911,5
3,4,0.7,20,36,0.444685821261446,15
2,4,0.7,19,27,0.258307463771877,10
1,4,0.7,8,25,0.911278190050611,5
